,Number,Names
1164,1165, Reception staff incredibly attentive helpful and approachable
1171,1172, Well trained knowledgeable approachable and friendly staff 
1235,1236, Comfortable bed with lovely duvets and pillows Simply furnished but totally practical Very amenable staff 
1271,1272, It was an amazing weekend I had planned a birthday surprise for my partner but the staff at the APEX took it further surprising both of us at the end 
1273,1274, Friendly mostly efficient but unobtrusive staff Comfortable clean quiet and convenient 
1316,1317, Nothing was too much bother for the staff I was meeting up with my sister and brother in law We had tea drinks etc in the lounge Not rushed at all 
1318,1319, The staff were friendly and helpful At breakfast a waitress did not understand what we ordered but it was changed very quickly 
1326,1327, very confy bed Great bar with lovely staff 
1368,1369, As per the review title this is an oasis in London the calm and quiet starts just yards from The Strand Very friendly and helpful staff Might seem expensive but you get what you pay for 
1382,1383, The staff were helpful well trained and exceedingly polite 
1411,1412, Nice modern premises friendly staff good gym
1430,1431, Fab service quick and efficient check in and friendly staff 
1440,1441, The staff were very helpful and friendly
1444,1445, Excellent bar area and staff just generally all round was great
1451,1452, The staffs were really nice and the bed very confortable
1478,1479, Excellent welcome from friendly and efficient staff 
1493,1494, Nice atmosphere good facilities and polite friendly staff
1525,1526, Appreciated staff at front desk
1528,1529, Professional and attentive staff
1529,1530, Bar staff very friendly and prices reasonable for the area
1536,1537, The entire staff had excellent customer service skills and were always willing to help out
1574,1575, Pain a raison at Breakfast was very fresh The staff were helpful explaining the gluten free menu 
1591,1592, Very clean and staff was very helpful First time in London and would use it again
1605,1606, Amazing breakfast options and the staff were very friendly and helpful
1618,1619, The staff was exceptionally helpful our stay was much too short 
1646,1647, Friendly staff good qualty for a reasonable price
1667,1668, Courteous staff Clean environment 24 Hours services delivery Absolute value for money 
1671,1672, The genuine cheerfulness of the whole staff 
1675,1676, The whole experience the staff very polite and very willing to help 
1683,1684, Everything was perfect Very clean superb facilities friendly staff The most comfortable bed I ever slept on 
1721,1722, Very polite staff friendly at breakfast Very convenient 
1730,1731, Reception and concierge staff very helpful and polite
1747,1748, Very attentive staff and very helpful at all times
1754,1755, Bed was lovely lovely attentive staff Cant fault it
1768,1769, The overall stay was made outstanding by the help of the staff Everything about the stay was out of this world 
1788,1789, Amazing staff and impeccable structure not a single flaw special thanks to Ben He could not have ben kinder and more attentive to our requests 
1795,1796, Absolutely amazing The staff are so friendly and helpful and our surprise was so unexpected thank you so so much
1859,1860, Very friendly staff excellent accommadation
1881,1882, The breakfast was amazing and the staff could not do enough only a 15 minute walk from Covent Garden
1888,1889, I was taken seriously ill during my stay The staff could not have been more helpful and considerate far beyond what I would have expected 
1905,1906, High spec fitments and furnishings very clean helpful staff 
1912,1913, Great atmosphere helpful staff the Temple area 
1937,1938, Every member of staff gave 100 
1964,1965, Stylish decor great staff Super food 
1990,1991, Nothing was any trouble for the staff they all were helpful pleasant and couldn t be nicer
1992,1993, The professionalism of the staff attentative but not too overbearing 
2002,2003, Very helpful staff willing to go out of their way to make your stay enjoyable and carefree 
2009,2010, The front desk and entrance was very nice and the staff were helpful 
2039,2040, The friendliness of the staff was exceptional They wanted our visit to be the best and my daughter who was 6 months pregnant received special treatment Breakfast was very good 
2050,2051, A mostly very young staff were very helpful and added to the stay 
2063,2064, Everything had a nice feel to it The staff were friendly and were always smiling and laughing 
2064,2065, The Porter staff were very friendly the receptionists didn t seem to care 
2073,2074, Breakfast was delicious The staff were so attentive to our needs The heated floor was divine 
2074,2075, The staff were really friendly and welcoming 
2089,2090, BED WAS NICE AND COMFORTABLE LOCATION EXCELLENT within 5mins walk of 3 tube stations Lancaster gate Bayswater and Paddington AND ABSOLUTELY VALUE FOR MONEY will definitely be back soon good and helpful staff especially ANDREA at the reception 
2100,2101, The staff was excellent and very friendly 
2142,2143, Good wifi staff very supportive and professional 
2157,2158, Unexpected birthday cake with wine and singing staff at breakfast for my husbands birthday Lovely All staff were very friendly polite and smiley 
2176,2177, The front desk staff were very kind and helpful
2197,2198, Breakfast was fine Plenty of hot water clean towels Very friendly obliging staff Underground was only an 8 min walk with the Bakerloo line you have very good access to all the main areas 
2246,2247, The staff was very friendly and accommodating 
2257,2258, Reception staff could not have been more helpful pleasant and accommodating 
2270,2271, The staff where exceptional nothing was too much trouble and breakfast was very good value for money hot fresh with a good variety 
2281,2282, Very clean simplistic and a huge welcome after a double booking elsewhere Nothing was too much trouble when speking to the staff 
2308,2309, Polite staff good selection at breakfast comfortable beds 
2313,2314, The staff were friendly The day are holiday ended 
2337,2338, some of the staff were very friendly and helpful Breakfast was very good
2338,2339, The staff are all the property has going for it 
2356,2357, Good staff comfortable bed good breakfasts the sixth time I m back but don t want to be in the basement again 
2377,2378, The staff was so helpful and they allowed us to early check in 
2378,2379, The staff were friendly and always neat and tidy and universally helpful The food in the bar and at breakfast was good The whole place was clean neat and well maintained The wifi was a nice bonus
2421,2422, Clean friendly staff and great free wi fi 
2422,2423, Excellent choice at breakfast very friendly staff bed very comy reception staff very helpful Would DEFINeTLY stay sgain
2441,2442, Everything about our stay was really great The staff were super attentive and extremely helpful The extra touch with the free wi fi enabled smart phone which was available for guests to take out and about during their stay with free national and international calls was a very pleasant suprise and a really well thought through extra 
2455,2456, Clean refurbished and friendly staff Breakfast was good 
2471,2472, The staff was excellent each and every one of them 
2474,2475, Friendly and helpful staff who also let us store our luggage following check out The beds were very comfy even the sofabed Good shower My friend s and I were very impressed I would definitely stay again 
2495,2496, Breakfast was splendid Very kind friendly staff made it a very enjoyable experience 
2502,2503, The staff here are incredible and go above and beyond We had the best time and will definitely be back
2511,2512, Flexibility staff very eager to please Quiet area Near to Lancaster Gate tube and Hyde Park where we had a great morning having coffee and cakes at the Lido Cafe Also enjoyed the traditional London sing song at the Duke of Kendal pub on Sunday night Handy for the 205 bus which took us all the way to Kings Cross much easier than the tube 
2514,2515, The staff were amazing They want to help and even they ask you after few hours what happened and do you beed other help Pemela and her colleague i cant remember her name they were very very amazing in supporting me
2517,2518, Friendly and helpful staff Good chef and accommodating
2544,2545, The staff were friendly and helpful 
2563,2564, There were problems with the water but the staff were helpful and informative in dealing with all issues 
2579,2580, staff were very informative and very helpful always trying to do the best for their costumers with a smile on their faces I would go back for sure A special thank you to Diana receptionist she was brilliant very helpful answered all our questions and gave us good advices in what to do while in London where to go etc and all of this with a brilliant smile Thank you Diana 
2580,2581, The friendliness and helpfulness of the staff The excellent quality and value of the food There was absolutely nothing that disappointed us at any time during our stay 
2581,2582, The staff were all very friendly and helpful They dealt with queries well and were attentive 
2586,2587, The price was great Got comp breakfast for our stay 3 days Great taste Friendly staff
2597,2598, The Breakfast staff was highly service minded 
2598,2599, The bed was really comfortable the showers were good the staff were very pleasant
2605,2606, I found staff friendly and a pleasing atmosphere in the building I thought overall the facilities were nice and clean 
2633,2634, Despite the massive problems the staff are very polite and tried to solve the problems 
2649,2650, The staff were really friendly especially Sara We would definitely come and stay here again because of her 
2659,2660, The staff were friendly and helpful 
2770,2771, Beds comfortable staff pleasant and helpful
2778,2779, The staff was very nice and accommodating 
2784,2785, The front desk staff were very helpful and pleasant
2790,2791, friendly staff easy to get to easy to walk to the bus 
2791,2792, Breakfast and staff there were appalling 
2801,2802, Service very bad staff not good
2806,2807, It was very warm and welcoming The staff were great and really went out of the way to help you Breakfast was tops 
2848,2849, Friendly helpful staff Comfortable bed Good breakfast 
2853,2854, No complaints enjoyed our stay pleasant staff helpful with luggage
2906,2907, The staff were brilliant incredibly friendly and helpful 
2913,2914, I was treated very well by the staff especially a young lady called Amalia who helped host our stay and make it as nice as possible 
2928,2929, Value for money and super staff 
2970,2971, Excellent service and staff really helpful polite and friendly
2983,2984, Breakfasts Reception staff very helpful
2988,2989, The friendly staff and speed of check in 
3022,3023, The staff are very positive and made every effort to make my stay stress free Also great value for London 
3048,3049, the staff were lovely and very helpful
3057,3058, Very friendly and helpful staff Could not have asked for any more 
3077,3078, staff were very helpful presentable and polite
3080,3081, nice staff and free of early check in 
3091,3092, Brilliant breakfasts served by friendly smiling staff
3098,3099, really friendly helpful staff 
3122,3123, My sister slept all night for the first time in months The staff were wonderfully helpful pleasant friendly We will stay there again next year 
3130,3131, Bartender front desk staff were very kind 
3171,3172, The breakfast was the best we have ever had all the staff were lovely 
3176,3177, the friendliness of the staff at all times very welcoming
3184,3185, Clean comfortable and affordable Centrally located with friendly staff Would gladly stay there again 
3210,3211, Very modern and clean and lovely staff
3212,3213, extremely friendly and helpful staff very good breakfast selection and great value Would definitely stay here again 
3214,3215, Breakfast was amazing and staff friendly and helpful 
3230,3231, Good value for money Clean Near to the underground and the bus stations Helpful staff 
3254,3255, staff are friendly and very helpful all necessary things that you want is surround you 
3262,3263, The breakfast staff were great
3297,3298, Comfy bed Friendly staff Close to tube 
3309,3310, Front Desk staff very courteous and helped answer many questions 
3312,3313, The staff went the extra mile for us couldn t knock the service 
3316,3317, Very comfortable bed air conditioning friendly staff excellent breakfast close to two tube stations 
3319,3320, The staff were excellent though the breakfast lady was a tad Trunchball 
3343,3344, It was clean tidy and the staff were excellent 
3346,3347, Very pleasant and helpful staff
3354,3355, Fantastic friendly and helpful staff 
3392,3393, The staff were great and made me feel very comfortable as a lone female 
3403,3404, Welcome and friendliness of most staff 
3436,3437, Comfortable stay and pleasant staff
3442,3443, Very kind and helpful staff great service 5 
3445,3446, Actually the staff was so cooperative and friendly 
3475,3476, Very welcoming and helpful staff which is so important 
3481,3482, Lovely staff very helpful and very clean
3485,3486, Excellent staff Good breakfast Comfortable bed
3486,3487, Friendly staff Nothing was too much problem Quiet at night
3491,3492, Food was quite good and the staff were also very polite and attentive to all needs 
3512,3513, staff extremely friendly and helpful
3513,3514, The staff are wonderful Friendly warm helpful and humorous 
3527,3528, Good breakfast friendly staff 
3540,3541, Very Helpful and Cooperative staff Breakfast
3543,3544, The staff were absolutely fantastic the whole stay was excellent and iam booking again thank you too booking com xx
3544,3545, Very nice staff comfortable bed 
3561,3562, Comfortable clean friendly breakfast was good staff helpful
3580,3581, Clean quiet area helpful staff 
3584,3585, The general ambience was one of welcome and quietness and staff were very helpful 
3612,3613, Very easy staff very pleasant and helpful
3624,3625, The staff were all very friendly
3634,3635, Very friendly and helpful staff Spotlessly clean with modern luxurious fixtures comfortable bed Well cooked breakfast with good choice 
3638,3639, Central position nice staff good food and bar
3640,3641, Close to Paddington Station friendly staff and food was good 
3641,3642, Close to Paddington station Hyde park is in walking area Friendly staff and supportive 
3653,3654, Food and very cooperative staff
3682,3683, The helpfulness of the reception staff
3688,3689, the staff was friendly and very helpfull
3691,3692, The staff were all really helpful
3695,3696, the staff was so kind and available
3705,3706, Very friendly staff Excellent curry 
3709,3710, Attitude of the staff and quality of foof
3711,3712, I like the breakfast and all the staff over there Yhey are helpfull
3765,3766, Good service good staff very friendly helpful everthing you need for that perfect stay 
3795,3796, The staff are friendly welcoming and very helpful
3797,3798, The bed most of staff not all breakfast checking in and out mede and the females at reception 
3828,3829, Fantastic staff very professional management
3831,3832, Breakfast reasonable in price and good quality Comfy bar Good staff 
3834,3835, The resection and outside of the building were beautiful and the staff were polite and very helpful 
3874,3875, The building is beautiful and the staff were helpful and friendly Euston Station is a 10 minute walk away and Oxford St shopping close by 
3880,3881, Reception staff were very helpful Breakfast was good 
3894,3895, The staff were excellent professional and friendly We received an unexpected free upgrade and champagne and cake for our celebration Just wonderful 
3895,3896, Breakfast is excellent and the staff are superb 
3913,3914, The staff went out of their way to accommodate us during a difficult period of health which without our anniversary break would not have been able to go ahead And the little anniversary suprise made it even more special
3916,3917, Continental breakfast was fantastic And the staff went out of their way to make our stay comfortable and problem free Train station was round the corner and a small shopping centre too Me and my new fianc e had an amazing stay and we will go back 
3920,3921, All staff were extremely polite friendly and welcoming Russell Square Underground station just around the corner Pleasant park with fountain and cafe right across the road 
3932,3933, The staff really looked after us and especially made a fuss of our mum who s 80th birthday celebration was the reason for our visit Thank you
3933,3934, Staff were all very attentive and polite Special thanks to bar staff for treating us so well 
3935,3936, All the common areas the bar and the staff were all excellent 
3945,3946, staff were very friendly and helpful the bed was very comfy and everything very clean 
3959,3960, good position for sight seeing good breakfasts great staff
3961,3962, Helpful and conscientious staff 
3992,3993, staff and facilities were good as were comfort levels 
4023,4024, I have stayed at the Russell before and am pleased to see the refurbishment work continues The staff were all attentive and sought to ensure I was having a pleasant stay 
4034,4035, The door staff where very friendly and helpfull
4038,4039, We got a great deal through booking com called the shopping package Fabulous value for two nights a good breakfast friendly staff and beautiful building 
4067,4068, we got upgraded to the junior suite heating had broken in there however they had already put two heaters in so we didn t need to ask the reception bar staff and porter were very friendly and accommodating 
4098,4099, The staff particularly the porters were very friendly and more than happy to talk to you and make you feel welcome Serge provided us with a detailed history of the building and local area 
4102,4103, The staff were extremely friendly and attentive The interior it historic and stunning The bar is cosy and yet sophisticated a good place to drink and relax in even if traveling on your own 
4132,4133, The staff really looked after the customers in a very polite and professional manner 
4150,4151, On the whole all the staff were very helpful and professional and friendly especially Max on the concierge desk making sure we had a car booked to take us to the Ritz for dinner and the very polite helpful doorman
4179,4180, The staff were friendly and efficient 
4180,4181, The helpful staff nothing was too much trouble 
4198,4199, The welcome and service provided by the concierge staff was excellent We particularly appreciated the attention and courtesy of Carey and Bernard who remembered us from previous visits and went out of their way to help us and make us feel at home We travel a lot and in our experience those two are in a special class We would come back for them alone 
4208,4209, I always get a warm welcome when I arrive the staff are very attentive and knowledgable it has a good atmosphere and I i was travelling alone it would be my first choice 
4232,4233, The actual building with all that marble wide staircases and corridors exudes old world style and luxury The staff are wonderful they look good happy and alert and are unfailingly polite and helpful 
4237,4238, Friendly and helpful staff over and above the expected
4271,4272, The Breakfast is excellent and staff very attentive Reception staff could be more cheerful and provide a more welcoming greeting the porters very helpful and friendly 
4275,4276, The staff was very helpful The place was clean and tidy 
4313,4314, Staffing Reception staff esp trainees very welcoming and helpful Bar staff also Stunning building and lobby 
4347,4348, The kindness of the staff giving us a late complimentary check out because I was sick The cheerful breakfast staff even though they were very busy 
4348,4349, We stayed here for our 1st wedding anniversary it was absolutely fantastic lovely staff couldn t do enough for you everything was amazing from start to finish we will definitely be back 
4362,4363, Took the English Breakfast and found it was a good way to start the day The front desk lent me an adapter so I could recharge my North American laptop and this was greatly appreciated Found that the Heathrow express which I had booked wouldn t work for me and the staff arranged an early morning taxi again greatly appreciated 
4374,4375, Facilities where good and excellent staff and food
4402,4403, bed lovely and comfy breakfast really good staff reception bar waiter all really great 
4457,4458, The staff on reception did everything possible to remedy problems fast and efficiently 
4478,4479, efficient check in en out good breakfast nice lobby very clean friendly staff
4488,4489, Very comfortable bed nice sheets good breakfast selection helpful staff 
4513,4514, Sumptuous surroundings and friendly staff 
4520,4521, Great building superb staff and clean and comfortable
4537,4538, The building was amazing loved the dragon in the second floor The staff were all very friendly and very helpful
4556,4557, Very friendly and efficent staff excellent conciege service
4558,4559, The staff were attentive and caring
4574,4575, Reception staff were excellent Very cheerful and helpful 
4584,4585, Marble stair case no road noise friendly staff
4586,4587, Friendly and helpful staff Comfortable bed
4595,4596, staff extremely helpful and friendly
4605,4606, The atmosphere and the polite yet humorous ways of the staff 
4608,4609, The customer service was perfect Every member of staff was delightful and went out of their way to help 
4609,4610, The staff were the best Kind and helpful 
4611,4612, Very professional and friendly staff beautiful facility Could not have been happier 
4635,4636, The reception staff are lovely 
4641,4642, Excellent helpful staff comfort 
4649,4650, staff were friendly and helpful
4669,4670, Reception staff very friendly and efficient Breakfast very good 
4685,4686, The bar was particularly comfortable and the staff were very efficient
4687,4688, quiet and clean friendly staff
4704,4705, staff very helpful and friendly
4749,4750, Staff was very professional One staff picked up trash from my hands inside the elevator I was impressed 
4760,4761, Very well located Very good breakfast service Very good staff
4763,4764, Helpfull staff Beautiful building 
4764,4765, The staff were efficient and attentive
4768,4769, The staff were helpful very pleasant 
4780,4781, Handy for the tube at Russel Square friendly helpful staff and a cosy bar 
4785,4786, general atmosphere and approachability of staff
4791,4792, Excellent helpful trustworthy staff I left stuff in the safe and they return to my home address 
4859,4860, the classic ambience of the bar and the helpfulness of all the staff
4882,4883, friendly efficient staff who always have a smile on their faces old school service is always appreciated
4886,4887, I loved the friendliness of the staff and their can do attitude
4905,4906, Very helpful staff in all departments 
4913,4914, The oldest of the building staff where warm and welcoming 
4968,4969, Friendly and efficient staff Lovely breakfast 
4969,4970, The staff were curtious and helpful at all times An enjoyable stay 
4996,4997, The staff were helpful and friendly 
5005,5006, Very nice knowledgeable staff Clean comfortable accommodations 
5065,5066, Very clean and comftable staff helpful 
5067,5068, The staff were extremely friendly and made us feel welcome I think his name was Leonardo on the front desk and he was very helpful 
5079,5080, Comfort Edwardian atmosphere The staff
5080,5081, Very helpful friendly and efficient staff
5086,5087, The staff were very welcoming right from the initial receptionist on arrival to the porter on leaving 
5171,5172, The stunning architecture and the politeness of the staff 
5186,5187, Good staff comfortable easy access
5209,5210, The staff were attentive and professional
5220,5221, Concierge service Reception staff good Clean and tidy
5245,5246, all the kind and helpful staff
5247,5248, Friendly staff and a lovely old building 
5259,5260, The staff were all excellent The reception staff especially they went out of their way to make the kids feel welcome 
5286,5287, Close to eye and park good f r kids Bit staff is very Friendly and helpfull 
5291,5292, Very good breakfast and nice staff for service We would love to stay here again if there any chance
5315,5316, Staff at breakfast were very good Concierge staff security staff were excellent very helpful Good breakfast for the money 
5337,5338, The staff on duty in the lobby and at the front desk were GREAT 
5341,5342, Bar staff were attentive and service great
5345,5346, Plenty of selection at breakfast Attentive staff 
5353,5354, Nice breakfast Good kitchen staff
5370,5371, Helpful staff and dining staff Clean and neat Nice breakfast Where was the real butter 
5522,5523, The upgrade and welcoming members of staff who greated and treated us to an upgrade on arrival as it was a special occasion for us really did make our stay at the park plaza enjoyable and a happy memory Thankyou
5529,5530, Staff mostly from oversees were very engaging and accommodating I liked how efficient and organised the staff were in queuing and sitting people for breakfast It was a perfect example of everyone knowing what they were doing I liked the housekeeping service They followed instruction well and appropriately and were discreet and accommodating Reception staff were warm
5548,5549, We had an excellent stay at Park Plaza County Hall Reception and concierge staff were very polite and helpful We will definately try to stay here on our next break in London 
5551,5552, The Area and staff are very good
5556,5557, Helpful check in staff at Reception 
5569,5570, It was my son s birthday and staff left a card complimentary snacks and drinks etc Kids pack was also great with euros for them to spend in treats 
5582,5583, Helpfulness of the staff and the little extras they provided for our childrens birthdays like free ice cream birthday cake drinks sweets and balloons 
5587,5588, The staff were extremely professional friendly and helpful 
5599,5600, All the staff we interacted with were excellent Really friendly and helpful Delighted to be given an upgrade to a lovely Penthouse Suite 
5614,5615, We got a free upgrade to penthouse which was amazing Looking onto London eye was my daughter s 18th so made it more special staff were lovely and very helpful 
5645,5646, The staff were attentive professional and so happy Especially Valentina and Atila I hope I remembered their names correctly The Christmas decorating was beautiful 
5647,5648, Beds very comfy staff very friendly and helpful
5648,5649, Excellent breakfast I was very pleased to get Eggs Bennedict Excellent Italian food for lunch Lovely suite Friendly helpful staff 
5651,5652, staff happy to help very friendly 
5662,5663, Comfy duvet spacious studio Ideal for up to 4 adults great view of the London eye and a special message on the window written for my birthday wishes and a bottle of wine balloons Front reception staff were very welcoming and professional 
5663,5664, The whole place including staff were so extremely lovely and helpful and just generally amazing There isn t one thing I can say against the place Brilliant 
5702,5703, Very helpful polite and friendly staff Was my husband s birthday so they left a card wine soft drinks and popcorn for the children 
5723,5724, The staff was very accommodating and tried to help make my stay pleasant 
5732,5733, The staff were nice it was clean and the facilities were good 
5740,5741, staff were helpful on arrival and at the main desk
5744,5745, The staff were very helpful and the overall facilities were excellent 
5748,5749, The staff were nice and friendly
5766,5767, The whole experiance that I don t need to interact with the staff
5812,5813, Very friendly reception staff Good range of food available at breakfast and of high quality 
5823,5824, Absolutely brilliant Lovely staff Goodie bags with monopoly type mony for kids to get a drink or ice cream Great breakfast buffet Delicious dinner Very central 
5833,5834, Loved our comfy beds All staff were so great with my children very family friendly Great food we really enjoyed our stay and would love to come back
5837,5838, Attention to children and nothing is too difficult for staff 
5907,5908, The executive suite we were upgraded to at no extra cost was very spacious comfortable The staff were very helpful friendly 
5921,5922, Fantastic staff who were very helpful from front desk and concierge through to the smiles on the faces of cleaners
5928,5929, Excellent staff very wide choice for breakfast and couldn t be better placed Nothing was too much trouble from booking in to getting us a taxi when we left 
5937,5938, We really liked the helpful staff The food was great and the welcome pack for the children was a lovely touch 
5949,5950, The experience the premises and staff provide well presented clean and professional
5983,5984, The reception staff Claudio especially was excellent Very attentive and kind
5985,5986, As it was a 5 wedding anniversary they Kindly gave us a free upgrade to the Executive suite with a bottle of wine and a card signed by the staff 
6017,6018, Friendly staff Beautiful views Tolietries Good bartender Great spa staff 
6028,6029, Amazing views staff very helpful fully equipped facilities from gym to bar so whether you are staying for business or pleasure all your needs are taken care of
6068,6069, Hi There The staff was Friendly prompt on taking care of me 
6125,6126, Friendly reception staff and very close to big attractions and local shops Also a very nice cafe close by that I would recommend called Barbarellas Great for breakfast or lunch 
6158,6159, The service we received was brilliant it was my partners birthday and we got treated amazingly well in particular a staff member called Kasia who greeted us at the reception Our executive studio was amazing with views of the London Eye and big Ben 
6214,6215, We were able to be moved immediately after asking after our shower broke and maintence had to be called However due to the inconvenience we were moved to the executive suite which was amazing Staff were so kind I would definitely stay there again D staff also left a lovely surprise for my other half a birthday which was so kind 
6217,6218, I loved everything The staff was very nice and gave us a special birthday request Everyone was extremely helpful and I loved the view of the London Eye
6231,6232, The staff were very polite and courteous and made us feel very welcome They wrote a happy birthday message on the window of our suite as it was my wife s 50th Birthday she was very touched by this 
6270,6271, Professional staff Delicious breakfast in airy surroundings Upgrade 
6283,6284, Great place and staff were very friendly 
6289,6290, Great views of 2 of London Landmarks Comfortable bed and spacious suite Friendly and helpful staff Definitely will stay again 
6290,6291, Fantastic friendly staff made it very easy for us to have a great time I would go there again 
6306,6307, Very friendly and accommodating staff 
6307,6308, Food was great staff were very friendly and accommodating
6311,6312, The staff at park plaza were excellent 
6314,6315, Absolutely wonderful staff was especially helpful on tips on how to get around London through the faster and cheapest routes Loved everything 
6323,6324, Really friendly helpful staff 
6326,6327, Helpful staff excellent breakfast
6336,6337, Very genuinely nice people and staff great atmosphere and a relaxed feel Super food too 
6344,6345, Brilliant stay Especially the staff at breakfast 
6350,6351, Very well located for london eye westminster and big ben Very clean Breakfast staff
6376,6377, Front desk staff were excellent 
6379,6380, Very childfriendly and helpful staff The Children felt very welcome and said that people in London are much nicer than in Sweden 
6394,6395, strategic position great staff
6396,6397, The staff were friendly and very helpful 
6414,6415, The breakfast was great and the staff are absolutely amazing 
6417,6418, the staff were very friendly and accommodating
6423,6424, The friendliness of staff and the helpfulness of the consierge The organization bearing in mind the Marathon weekend was excellent 
6449,6450, Amazing staff made our stay great for our anniversary
6468,6469, The staff were incredibly friendly and helpful Concierge was excellent nothing was too much trouble 
6479,6480, Bed comfy staff helpful secure storage for left baggage
6486,6487, the bed not comfortable staff service s below average
6501,6502, All staff were friendly and helpful 
6523,6524, Great staff thanks for the upgrade 
6577,6578, Excellent staff and accommodation stay marred by inefficient air con and noisy plumbing 
6600,6601, The ability of the staff to go the extra mile 
6615,6616, I found all the staff to be very friendly and helpful and it was very good value
6637,6638, The staff were extremely helpful and friendly 
6638,6639, The staff were very accommodating and couldn t be more helpful 
6654,6655, The reception staff couldn t have been more helpful especially the arsenal fan Sorry didn t get is name went that bit extra to help
6699,6700, Really friendly staff Very family friendly
6701,6702, Breakfast was lovely staff very helpful and courteous
6707,6708, The view was amazing staff very pleasant and efficient
6715,6716, Reasonable price for central London good staff service 
